gene_id	gene_name	SRR2219873	SRR2219887	SRR2219889	SRR2219891	SRR2219895	SRR2219907
ENSG00000000003.16	TSPAN6	138	91	57	173	218	501
ENSG00000000005.6	TNMD	0	0	2	0	0	0
ENSG00000000419.14	DPM1	316.001	274.999	152.001	150.999	662.001	335
ENSG00000000457.14	SCYL3	44	287	86.999	91	179	151
ENSG00000000460.17	FIRRM	51	281	57	110	226.001	147
ENSG00000000938.13	FGR	18	131.001	609	136.999	149.001	22
ENSG00000000971.17	CFH	281.593	1204.71	1292.624	106.931	1411.814	387.977
ENSG00000001036.14	FUCA2	248	329	469	173	627	311
ENSG00000001084.13	GCLC	269	257.001	243	755	412	882
ENSG00000001167.15	NFYA	170.999	251.902	230.985	198.862	400	379.988
ENSG00000001460.18	STPG1	54	34	36	54	141	72.999
ENSG00000001461.19	NIPAL3	85.01	186.126	132	153.19	470.16	320.999
ENSG00000001497.18	LAS1L	174	228.999	176.999	214.999	624.001	269.081
ENSG00000001561.7	ENPP4	12	65	75	32	26	147
ENSG00000001617.12	SEMA3F	250	350.999	147	304	865.999	331
ENSG00000001626.18	CFTR	0	1	0	2	0	147
ENSG00000001629.10	ANKIB1	238	319	293	309	1610	492.999
ENSG00000001630.18	CYP51A1	217.879	156	189.346	139	1048.407	541
ENSG00000001631.17	KRIT1	161.312	266	182.296	316.005	750.664	373.315
ENSG00000002016.18	RAD52	14	59.206	60	128	76	133
ENSG00000002330.14	BAD	360	72.999	73	86	219	93
ENSG00000002549.13	LAP3	309	1611.999	1345.999	156.001	1381.914	609
ENSG00000002586.20	CD99	409.316	12.641	926.481	269.48	840.621	9.092
ENSG00000002587.10	HS3ST1	104	76	25	39	140	190
ENSG00000002726.21	AOC1	10	16	2	12	9	6
ENSG00000002745.13	WNT16	0	0	2	1	0	1
ENSG00000002746.15	HECW1	3	3	3	1	44	1
ENSG00000002822.16	MAD1L1	189	63	106.956	107.475	207	93
ENSG00000002834.19	LASP1	863	1095	1271	811	1011.001	1264
ENSG00000002919.15	SNX11	63	133	121.001	91	183.999	174.999
ENSG00000002933.9	TMEM176A	10	206	575	82	104	14
ENSG00000003056.8	M6PR	537	806	1477	359	1409.001	951
ENSG00000003096.15	KLHL13	56	67	22	49.34	197.309	152.441
ENSG00000003137.9	CYP26B1	220	26	46	13	346	32
ENSG00000003147.19	ICA1	15	75.001	39	51	19	212
ENSG00000003249.15	DBNDD1	13	18	26	57	31	94
ENSG00000003393.16	ALS2	176.998	155.001	126.001	180	295.001	294
ENSG00000003400.16	CASP10	50	389	221.001	106	82	377
ENSG00000003402.21	CFLAR	500.851	1156.957	1144.752	675.426	1044.465	880.026
ENSG00000003436.16	TFPI	84.058	220	293	557	175.08	442.999
ENSG00000003509.16	NDUFAF7	46	105	74	126	154	84
ENSG00000003756.17	RBM5	309	869	787.002	871.001	807	505
ENSG00000003987.14	MTMR7	1	0	0	4	1	1
ENSG00000003989.18	SLC7A2	10	523.999	128	27	24	95
ENSG00000004059.11	ARF5	215.999	242	359	552.965	570	815
ENSG00000004139.14	SARM1	16	104	70	56	89	63
ENSG00000004142.12	POLDIP2	369	281	311	241	767	760
ENSG00000004399.13	PLXND1	167.999	574.001	1561	317	692.001	158
ENSG00000004455.18	AK2	534.001	909	618.999	590	1567.999	1197.092
ENSG00000004468.13	CD38	6	344.999	267	197	455.001	139
ENSG00000004478.8	FKBP4	398	555.982	1075.974	399	1104.891	1542.999
ENSG00000004487.18	KDM1A	518.001	400	323	388.562	1384	775
ENSG00000004534.15	RBM6	252.853	974.999	753	1238.999	689	450.999
ENSG00000004660.15	CAMKK1	54.999	46	43	92	133.001	15
ENSG00000004700.16	RECQL	303.013	387	460	267	900.094	463
ENSG00000004766.17	VPS50	114.001	154.999	160.001	130	432.001	216
ENSG00000004776.13	HSPB6	6	39	62	9	5	7
ENSG00000004777.19	ARHGAP33	14	94	63	310	86	61.001
ENSG00000004779.10	NDUFAB1	147	199.999	165	109	425	394
ENSG00000004799.8	PDK4	50	80	1168	7	123	11
ENSG00000004809.14	SLC22A16	1	1	1	2	1	0
ENSG00000004838.14	ZMYND10	0	3	2	2	1	0
ENSG00000004846.17	ABCB5	0	0	0	1	21	2
ENSG00000004848.8	ARX	0	2	1	1	0	0
ENSG00000004864.14	SLC25A13	100	97	86	88	902	244
ENSG00000004866.22	ST7	35	102.001	132	73	164	119
ENSG00000004897.12	CDC27	503	384.001	367	230	1367.999	641.942
ENSG00000004939.16	SLC4A1	1	0	0	2	0	2
ENSG00000004948.16	CALCR	1	3	10	0	0	1
ENSG00000004961.15	HCCS	85	96	111.001	72	187	187
ENSG00000004975.12	DVL2	114	141	185	186.999	519.001	157
ENSG00000005001.10	PRSS22	371.001	45	14	109	103	183
ENSG00000005007.14	UPF1	521	544	563	632.001	1459.998	935.002
ENSG00000005020.13	SKAP2	91	212	461	128	395	248
ENSG00000005022.6	SLC25A5	1279.891	1212.958	1147.913	471	4397.901	2134.808
ENSG00000005059.16	MCUB	79.999	178.001	182	139	680.999	100
ENSG00000005073.6	HOXA11	8	6	1	1	12	3
ENSG00000005075.16	POLR2J	102.683	133.453	98.077	192.985	573.563	184.533
ENSG00000005100.13	DHX33	213.166	114	78.081	178	493	161.001
ENSG00000005102.14	MEOX1	57	50	42	16	68	22
ENSG00000005108.17	THSD7A	2	19	39	4	8	4
ENSG00000005156.12	LIG3	81	135	104	147	348.007	310.999
ENSG00000005175.10	RPAP3	142	182.001	153	122	336.999	244
ENSG00000005187.12	ACSM3	2	14.194	19	22	3	13
ENSG00000005189.20	REXO5	3	41	12	77.001	30	47
ENSG00000005194.15	CIAPIN1	171	146.999	124	120	302.999	553.999
ENSG00000005206.17	SPPL2B	112	200.65	225.249	698	144.999	311.214
ENSG00000005238.20	ATOSB	159	116	151.999	105	328	69
ENSG00000005243.10	COPZ2	58	63	138	60	105	58
ENSG00000005249.14	PRKAR2B	8	134.001	92.999	42.999	32	36
ENSG00000005302.19	MSL3	94.925	367.89	276.946	311.71	330.188	339.434
ENSG00000005339.15	CREBBP	198.999	314.999	408.999	382	537.999	392
ENSG00000005379.17	TSPOAP1	11	108	62	246	23.999	110
ENSG00000005381.9	MPO	0	0	3	1	2	1
ENSG00000005421.9	PON1	0	0	0	1	0	0
ENSG00000005436.14	GCFC2	53	76	68	114	203.001	151
ENSG00000005448.17	WDR54	25	43.001	53.001	61	134.999	38
ENSG00000005469.12	CROT	135.001	141	71	156.999	360	402.001
ENSG00000005471.19	ABCB4	1	17.238	27.754	30.397	4	3.246
ENSG00000005483.23	KMT2E	366.999	450.001	477.69	362.989	1218.581	518.933
ENSG00000005486.17	RHBDD2	147	160.999	247	219	772	360
ENSG00000005513.11	SOX8	3	3	6	18	1	0
ENSG00000005700.15	IBTK	308.001	351	312	151.999	655.999	451
ENSG00000005801.18	ZNF195	73	142.001	90.933	272.999	69.999	125
ENSG00000005810.20	MYCBP2	235.001	772	539.001	468.999	430.999	337.998
ENSG00000005812.11	FBXL3	247	360	306	193	419	241
ENSG00000005844.19	ITGAL	22.001	642	835	584	121.001	61.001
ENSG00000005882.12	PDK2	66	98	82	47.001	137.999	135
ENSG00000005884.18	ITGA3	3120	453	182	421	9568.06	1174.008
ENSG00000005889.16	ZFX	104	299	163.711	139.574	206.319	230.714
ENSG00000005893.17	LAMP2	1190	1037	1820	317	2842	1229
ENSG00000005961.19	ITGA2B	1	10	5	60	1	11.001
ENSG00000005981.13	ASB4	0	0	0	0	0	2
ENSG00000006007.12	GDE1	392.999	270	478.001	152	550.001	296.999
ENSG00000006015.18	REX1BD	31	109	175	159.001	269	84.001
ENSG00000006016.12	CRLF1	10	4	8	2	183	4.032
ENSG00000006025.13	OSBPL7	13	110	110	134	63	66
ENSG00000006042.12	TMEM98	27	93	145.001	106.999	71	106
ENSG00000006047.13	YBX2	5	143.947	4	497.001	13	53
ENSG00000006059.4	KRT33A	0	0	0	1	1.143	3.497
ENSG00000006062.18	MAP3K14	81	173	175.001	213	76	215
ENSG00000006071.16	ABCC8	0	0	1	0	0	0
ENSG00000006116.4	CACNG3	0	0	0	0	0	0
ENSG00000006118.15	TMEM132A	135	193.001	110.001	137.001	2346.001	735
ENSG00000006125.18	AP2B1	1043	659.001	952	264	1718.857	1290.969
ENSG00000006128.12	TAC1	0	0	0	0	0	1
ENSG00000006194.12	ZNF263	98.999	167.001	116.999	227.001	165.999	179
ENSG00000006210.7	CX3CL1	34	662	167	135	143	548
ENSG00000006282.22	SPATA20	113.133	240	218	340.247	630.001	281.131
ENSG00000006283.18	CACNA1G	2	7	8	2	8	3
ENSG00000006327.14	TNFRSF12A	323	88	77	120	1149	83.999
ENSG00000006377.11	DLX6	10	11	3.003	22	40	21
ENSG00000006432.16	MAP3K9	354	87	30	112	177	247
ENSG00000006451.8	RALA	579.932	310	518	242	1462	869
ENSG00000006453.14	BAIAP2L1	310	178	57	301	1280	403.999
ENSG00000006459.11	KDM7A	222	304	337	193	532	300
ENSG00000006468.15	ETV1	12	90.999	89	19	39.001	81.999
ENSG00000006530.18	AGK	49	135	105	141	224.001	219.998
ENSG00000006534.17	ALDH3B1	33.104	64.696	210.229	26.254	27.133	11.437
ENSG00000006555.11	TTC22	162	110.001	27.001	111	208.65	298.954
ENSG00000006576.17	PHTF2	171	234.999	285.999	271	1438	223.001
ENSG00000006606.9	CCL26	3	4	7	4	34	2
ENSG00000006607.14	FARP2	226	194	178	144	233	288
ENSG00000006611.17	USH1C	0	0	0	0	0	0
ENSG00000006625.18	GGCT	331.21	292.808	178.645	417.923	550.397	527
ENSG00000006634.8	DBF4	132	112	66	126	1144.541	233
ENSG00000006638.13	TBXA2R	3	1	12.609	6	9	0
ENSG00000006652.15	IFRD1	145.694	231.274	210.016	358	510.862	300
ENSG00000006659.13	LGALS14	0	0	0	0	0	0
ENSG00000006695.12	COX10	64	94.691	89	51.458	240.953	67.609
ENSG00000006704.11	GTF2IRD1	184.129	83	72	145	715.097	256
ENSG00000006712.15	PAF1	276	235	223	255	667	347
ENSG00000006715.16	VPS41	230	262	374.588	236.556	505.001	445.578
ENSG00000006740.18	ARHGAP44	5	14	39	23.022	27.001	7
ENSG00000006744.19	ELAC2	304.999	286	257.001	247	614.999	278.999
ENSG00000006747.15	SCIN	21	104	32	14	8	11
ENSG00000006756.16	ARSD	43	216	154.999	87	74	368.974
ENSG00000006757.12	PNPLA4	31	49	38.001	35	122	120
ENSG00000006788.14	MYH13	0	0	0	0	1	0
ENSG00000006831.10	ADIPOR2	390	376	388	308	641	558
ENSG00000006837.12	CDKL3	0	10	3.844	9	12.577	14
ENSG00000007001.14	UPP2	0	1	0	0	0	0
ENSG00000007038.11	PRSS21	18	88	17	79	174.999	8
ENSG00000007047.16	MARK4	147.999	121	130	108	310	226.001
ENSG00000007062.12	PROM1	0	3	0	0	0	0
ENSG00000007080.11	CCDC124	161	123	177	193	1054.999	268
ENSG00000007129.18	CEACAM21	2	20	44.999	22	9.447	2
ENSG00000007168.15	PAFAH1B1	950.765	763.001	633.876	499	1886.002	681.999
ENSG00000007171.19	NOS2	7	2	8	72	4	5
ENSG00000007174.18	DNAH9	3	2	2	0	1	3
ENSG00000007202.16	BLTP2	618	714	687.999	427.001	1369	1216.001
ENSG00000007216.16	SLC13A2	0	0	0	0	0	0
ENSG00000007237.19	GAS7	160	183	483.999	30	76	125.999
ENSG00000007255.10	TRAPPC6A	16	32	47	66	26	127.999
ENSG00000007264.15	MATK	0	38	171	30	16	4
ENSG00000007306.15	CEACAM7	94	6	0	31	0	119
ENSG00000007312.14	CD79B	2	103.999	127	338	15	7
ENSG00000007314.12	SCN4A	2	0	5	2	0	1
ENSG00000007341.19	ST7L	41	84	28.001	83.001	157	73.998
ENSG00000007350.18	TKTL1	1	0	0	0	0	0
ENSG00000007372.25	PAX6	14	15	0	37	9	4
ENSG00000007376.8	RPUSD1	68	57	58	86	189	71
ENSG00000007384.15	RHBDF1	157.968	104.001	48.999	138.978	203	188
ENSG00000007392.17	LUC7L	174.001	372.001	298.999	736.994	329	270.999
ENSG00000007402.12	CACNA2D2	1	14	9	1	4	1
ENSG00000007516.15	BAIAP3	7	11	7	36	10	23
ENSG00000007520.4	TSR3	114	125	119	116	265	133
ENSG00000007541.17	PIGQ	51.38	123.999	103.129	156.999	99.195	113
ENSG00000007545.16	CRAMP1	154.677	186.608	147.564	232.609	212	202.999
ENSG00000007866.22	TEAD3	163	162.629	75	200.744	148.6	351.744
ENSG00000007908.16	SELE	14	158	27	34	910	245
ENSG00000007923.17	DNAJC11	449.001	225.001	213	340	736	703.001
ENSG00000007933.13	FMO3	6	74	17	14	5	860
ENSG00000007944.16	MYLIP	41	324	471	117	81	340
ENSG00000007952.18	NOX1	0	0	0	0	0	1
ENSG00000007968.7	E2F2	26	88	51	90	273	155
ENSG00000008018.9	PSMB1	624	667	493	876	1251	1525
ENSG00000008056.14	SYN1	3	5	5	2	3	1
ENSG00000008083.14	JARID2	430	293	164	229	730	264
ENSG00000008086.13	CDKL5	41	59	65	48	49	94
ENSG00000008118.10	CAMK1G	0	0	14	2	4	0
ENSG00000008128.23	CDK11A	193.559	257.581	93.297	536.445	283.415	298.027
ENSG00000008130.15	NADK	272.99	450.702	490.083	332.703	701.686	706.81
ENSG00000008196.13	TFAP2B	0	0	0	12	0	14
ENSG00000008197.5	TFAP2D	0	0	0	0	0	0
ENSG00000008226.20	DLEC1	0	5.08	5	191	4.017	2
ENSG00000008256.17	CYTH3	233	145	181	50	347	149
ENSG00000008277.15	ADAM22	1	36	17	11	33	19
ENSG00000008282.10	SYPL1	1895.999	685	480	309	4272.001	1816.999
ENSG00000008283.16	CYB561	222.001	305	136	180	432	502
ENSG00000008294.22	SPAG9	1060	391	622	192.001	2134.002	740.999
ENSG00000008300.17	CELSR3	26	71	52	116.999	336	21
ENSG00000008311.16	AASS	16	145	111.512	245.949	39.828	162.999
ENSG00000008323.16	PLEKHG6	38	42	10	87.001	72	214
ENSG00000008324.12	SS18L2	36	90	65	186	129	58
ENSG00000008382.16	MPND	8	71	117.001	48	61	75.001
ENSG00000008394.13	MGST1	27	146	122.999	93	647	250
ENSG00000008405.12	CRY1	94	144	114	45	183	199.001
ENSG00000008438.5	PGLYRP1	0	0	0	0	1	0
ENSG00000008441.19	NFIX	128	357	261.392	199	361.382	635.739
ENSG00000008513.17	ST3GAL1	117	296.999	423	217	303	294
ENSG00000008516.19	MMP25	24	112.001	41	21	148.999	23
ENSG00000008517.19	IL32	57.999	1053	725.778	356.001	266	167.001
ENSG00000008710.20	PKD1	178.044	393.083	276.719	438.693	324.066	287.994
ENSG00000008735.14	MAPK8IP2	3	34	2	8	108	63
ENSG00000008838.21	MED24	297	266	252.998	297.999	427	601.998
ENSG00000008853.18	RHOBTB2	51	104	102	70	225	48
ENSG00000008869.12	HEATR5B	62	198	237	224	284	294
ENSG00000008952.17	SEC62	821	751	688.758	892.001	1394	529
ENSG00000008988.11	RPS20	2596.489	2661.656	3753.56	4862.354	5200.109	4064.475
ENSG00000009307.17	CSDE1	2020.962	2400.999	3152.998	1086.998	6362	4403.725
ENSG00000009335.19	UBE3C	361	452	287	143	1169.999	953
ENSG00000009413.17	REV3L	128	211	132	109	215	262
ENSG00000009694.14	TENM1	1	3	5	15	1	3
ENSG00000009709.13	PAX7	0	0	0	0	1	0
ENSG00000009724.18	MASP2	0	0	0	0	0	0
ENSG00000009765.15	IYD	0	0	1	0	0	11
ENSG00000009780.16	FAM76A	28	90	76	78	114	91
ENSG00000009790.15	TRAF3IP3	10	330	311.001	422.001	55.999	29.999
ENSG00000009830.13	POMT2	120.999	87.999	66.999	82.999	236.002	128
ENSG00000009844.16	VTA1	296.001	274	225	194	598	431
ENSG00000009950.16	MLXIPL	3	0	8	7	1	0
ENSG00000009954.11	BAZ1B	551	590	462	401	1843	864
ENSG00000010017.13	RANBP9	474	340	302	269	510	450
ENSG00000010030.14	ETV7	8	164.999	48.999	69.999	70	31
ENSG00000010072.16	SPRTN	76	79	68.001	63	191	115.999
ENSG00000010165.20	METTL13	97	433	167.999	70	419	269
ENSG00000010219.14	DYRK4	28	68.001	116.001	89.001	141	96
ENSG00000010244.19	ZNF207	984.979	1003.988	861.001	654	1586.999	1066
ENSG00000010256.12	UQCRC1	422.001	532	519	412	935.999	511
ENSG00000010270.14	STARD3NL	95	98	174	68	344	106
ENSG00000010278.15	CD9	1548.001	929.999	1674	1771	2220.999	4270
ENSG00000010282.15	HHATL	4	0	0	0	0	0
ENSG00000010292.13	NCAPD2	353.874	468.715	330.249	432.128	1038.417	1243.241
ENSG00000010295.20	IFFO1	15	169	303.999	173.001	72	23
ENSG00000010310.9	GIPR	17	44.999	41	52	74	13
ENSG00000010318.22	PHF7	17.001	31	28	18	39.001	14
ENSG00000010319.7	SEMA3G	6	65	99	6	21	17
ENSG00000010322.16	NISCH	144.999	463.002	517	601	383.999	419
ENSG00000010327.10	STAB1	99	849.999	916	353	400	286
ENSG00000010361.14	FUZ	14	24	54	41.999	52.999	2
ENSG00000010379.16	SLC6A13	0	0	0	1	0	0
ENSG00000010404.18	IDS	679.685	582.839	895.106	276.359	1455.825	473.822
ENSG00000010438.17	PRSS3	480.983	9	0	1	3	15
ENSG00000010539.12	ZNF200	107	77.028	57	45	72.001	88
ENSG00000010610.10	CD4	44	775	2222.999	270	243	88
ENSG00000010626.15	LRRC23	6	22.253	47.002	38.442	30.093	41.163
ENSG00000010671.18	BTK	22.001	202	402.001	236	76	28
ENSG00000010704.20	HFE	30	53	98.726	31	95	82.172
ENSG00000010803.18	SCMH1	43.001	105	114	157	345.999	192.999
ENSG00000010810.18	FYN	97.001	454.999	378.998	387	470.999	127.999
ENSG00000010818.11	HIVEP2	190	273.999	242.999	229	493	413
ENSG00000010932.17	FMO1	34	131.999	147	9	41	15
ENSG00000011007.13	ELOA	278	320	309	257	720	791.999
ENSG00000011009.12	LYPLA2	172	180.001	168.999	230	405.844	380.001
ENSG00000011021.23	CLCN6	77.001	105	130	159.001	176.999	108
ENSG00000011028.14	MRC2	225	482.001	1356	165	913.001	142
ENSG00000011052.21	NME1-NME2	31.023	0	34.073	0	32.532	45.086
ENSG00000011083.9	SLC6A7	0	5	8	3	5	0
ENSG00000011105.14	TSPAN9	185	250.999	148.999	64	267	489
ENSG00000011114.15	BTBD7	323	188.91	132.904	176	579.035	338
ENSG00000011132.12	APBA3	30.999	72	120.207	118	105	150
ENSG00000011143.19	MKS1	75	89	53.999	122	106	148.001
ENSG00000011198.10	ABHD5	129.001	143.999	151.001	123.001	161	131.001
ENSG00000011201.12	ANOS1	20	63.999	120.936	93	28	53
ENSG00000011243.19	AKAP8L	270	373	362.999	612	705.999	475.001
ENSG00000011258.16	MBTD1	84	152	106.001	203	144	243
ENSG00000011260.14	UTP18	257.999	186.001	238	117	569	246.979
ENSG00000011275.19	RNF216	163.149	236.334	229.659	235.582	490.035	320.111
ENSG00000011295.16	TTC19	166.001	234	147.001	232	332	262
ENSG00000011304.22	PTBP1	1407	1338.999	1125	1367	2686.999	2119
ENSG00000011332.22	DPF1	14	2	1	10	196	0
ENSG00000011347.10	SYT7	106	17	74	9	68	94
ENSG00000011376.12	LARS2	49	120	96.999	93	223	110
ENSG00000011405.14	PIK3C2A	278	307	265	145	487	290
ENSG00000011422.12	PLAUR	277	135.001	1184.001	133	1562	107
ENSG00000011426.11	ANLN	1184	215	117	193	4347	810.999
ENSG00000011451.21	WIZ	202.001	236	225.999	200	1162	414.263
ENSG00000011454.18	RABGAP1	402	370	392	290	681	324
ENSG00000011465.18	DCN	683.001	2194.002	8900.999	328	1725.999	1550.999
ENSG00000011478.13	QPCTL	10	53	46	35	63	36
ENSG00000011485.15	PPP5C	191.001	200.876	206	284	667.994	426.986
ENSG00000011523.15	CEP68	60.001	188.999	152	135	211.001	205.999
ENSG00000011566.15	MAP4K3	84	148	136	125.001	430	246
ENSG00000011590.14	ZBTB32	7	25	11	34	8	3
ENSG00000011600.12	TYROBP	29	299	1358	95	210	55
ENSG00000011638.11	LDAF1	160	119	169	68	143	130
ENSG00000011677.13	GABRA3	4	0	0	8	83	38
ENSG00000012048.26	BRCA1	177.001	172.999	69	206	273	425
ENSG00000012061.17	ERCC1	151.998	189.001	271.999	216	526	360.999
ENSG00000012124.17	CD22	7	94.999	230	1087.001	30	4
ENSG00000012171.20	SEMA3B	62.999	30	25	54	43.999	13
ENSG00000012174.12	MBTPS2	74	89	113	18	237	154
ENSG00000012211.13	PRICKLE3	34	71	66	114	111	101
ENSG00000012223.13	LTF	22	191	13	564	15	244
ENSG00000012232.10	EXTL3	357	236	132	98	1080.999	135
ENSG00000012504.15	NR1H4	0	1	0	2	0	1
ENSG00000012660.14	ELOVL5	470	521	693	425	859	598
ENSG00000012779.12	ALOX5	28	275	994.001	141.999	108.999	20
ENSG00000012817.16	KDM5D	0	5	666	744	121.999	46
ENSG00000012822.16	CALCOCO1	177.999	484.999	670.999	396.001	274	296
ENSG00000012963.15	UBR7	235	291	244	199	581.602	448
ENSG00000012983.12	MAP4K5	416	253.999	316.999	271	882.001	438
ENSG00000013016.16	EHD3	70	67.133	100	34	319	116
ENSG00000013275.8	PSMC4	324	302.999	287.999	378.001	824.001	694
ENSG00000013288.9	MAN2B2	178	365	622.001	261	571	291
ENSG00000013293.6	SLC7A14	0	0	1	0	0	0
ENSG00000013297.12	CLDN11	0	20	48.47	6.289	9.172	10
ENSG00000013306.16	SLC25A39	509.999	387	362.001	489.999	690.999	1017.001
ENSG00000013364.19	MVP	352	779.757	1015.34	537.906	1182.391	594.313
ENSG00000013374.17	NUB1	97	656.999	502	190	445.972	408
ENSG00000013375.17	PGM3	286.001	286	222.001	144.999	568	393
ENSG00000013392.8	RWDD2A	19	59	39	23	35	51
ENSG00000013441.17	CLK1	534.998	1055.997	1376.987	1678	833.001	784.001
ENSG00000013503.10	POLR3B	55	80	54	51	175	142
ENSG00000013523.12	ANGEL1	121	222	209	157.001	331	220
ENSG00000013561.18	RNF14	145	210.001	237	101	316	180.968
ENSG00000013563.14	DNASE1L1	133	128	218	93	186.001	118
ENSG00000013573.17	DDX11	157.545	285.881	97.254	707.68	423.823	436.216
ENSG00000013583.10	HEBP1	49	110	229	49	141	120
ENSG00000013588.10	GPRC5A	425	68	91.001	196	1201.001	263
ENSG00000013619.15	MAMLD1	17	29	51	9	51	21
ENSG00000013725.14	CD6	37	252.999	150	229.001	23	29
ENSG00000013810.21	TACC3	394	286.999	219	505.001	882	668.001
ENSG00000014123.10	UFL1	257	287	180	120	333	326
ENSG00000014138.10	POLA2	149.865	161	75.354	184.001	513.658	149.999
ENSG00000014164.7	ZC3H3	89	113	124	95	209	190
ENSG00000014216.16	CAPN1	2397	889	772	897.999	2174.001	1388.001
ENSG00000014257.17	ACP3	9.999	49	13.999	75	13	68
ENSG00000014641.21	MDH1	395.001	538	704	501	1852.999	788.001
ENSG00000014824.14	SLC30A9	336	380	279.999	168	959	595
ENSG00000014914.21	MTMR11	54.999	58	75	39	329	69
ENSG00000014919.13	COX15	86	187	200.867	169	204	314
ENSG00000015133.20	CCDC88C	64.011	464.059	264.001	640	324.005	379.001
ENSG00000015153.15	YAF2	26	64	63.999	74	115	62
ENSG00000015171.21	ZMYND11	207.999	421	363	322	684	718
ENSG00000015285.12	WAS	19	213	333.899	250	106	42.001
ENSG00000015413.10	DPEP1	1	14	9	2	1	0
ENSG00000015475.19	BID	81.001	134	151.001	181	441	206.999
ENSG00000015479.20	MATR3	1036.032	1428.569	1353.352	1114.943	2435	1388.367
ENSG00000015520.15	NPC1L1	0	0	0	2	0	0
ENSG00000015532.10	XYLT2	99	128	130	181	341	170
ENSG00000015568.13	RGPD5	1.143	1.747	19.529	24.5	142.26	4.627
ENSG00000015592.17	STMN4	0	0	0	1	0	1
ENSG00000015676.18	NUDCD3	257.001	314	281	305	782	540
ENSG00000016082.15	ISL1	0	1	0	5	1	13
ENSG00000016391.11	CHDH	5	45	22	28	6	41
ENSG00000016402.14	IL20RA	15	87.999	5	58	19	160
ENSG00000016490.16	CLCA1	0	0	0	0	0	0
ENSG00000016602.9	CLCA4	295	121	21	164	1	3192
ENSG00000016864.19	GLT8D1	106.999	255	269.001	108.999	388.001	142.999
ENSG00000017260.20	ATP2C1	486.999	1014.001	708	892.001	2272.999	1372
ENSG00000017427.17	IGF1	14	57	398	21	39	13
ENSG00000017483.16	SLC38A5	19	81.001	135	34	27	13
ENSG00000017797.13	RALBP1	559	343	482	272	1951	839.999
ENSG00000018189.13	RUFY3	83	226.001	284.001	313	220	291.999
ENSG00000018236.15	CNTN1	3	66	25	22	1394.999	135
ENSG00000018280.18	SLC11A1	47	13	943.001	8	238.999	22
ENSG00000018408.15	WWTR1	192	323.999	307	267	460.053	212
ENSG00000018510.18	AGPS	281.998	305.999	397	196	571	469
ENSG00000018607.9	ZNF285CP	0	0	0	0	0	0
ENSG00000018610.15	STEEP1	88.757	101.17	70.977	51	240	173
ENSG00000018625.15	ATP1A2	12	16	19	1	4	2
ENSG00000018699.13	TTC27	37	80	77	56	296	157
ENSG00000018869.18	ZNF582	6	8	15	1	2	6
ENSG00000019102.12	VSIG2	10	3	1	11	0	2
ENSG00000019144.20	PHLDB1	152.001	159	663.001	107.999	538.999	65.012
ENSG00000019169.11	MARCO	4	2	2121	1	9	2
ENSG00000019186.10	CYP24A1	46	239	23	64	438	875.001
ENSG00000019485.14	PRDM11	58	49	43	57	60	90
ENSG00000019505.8	SYT13	2	0	0	2	0	0
ENSG00000019549.13	SNAI2	516	147	159.999	67	1298	278
ENSG00000019582.17	CD74	783.999	18883.002	40574.001	10432.002	6717	2198
ENSG00000019991.18	HGF	6.999	33	122.999	0	28.001	16
ENSG00000019995.6	ZRANB1	375	213	180.724	225	386.66	434.659
ENSG00000020129.16	NCDN	98.999	115	90	94	232	180
ENSG00000020181.18	ADGRA2	80.999	224	391	72	265	66
ENSG00000020219.9	CCT8L1P	0	0	0	1	0	0
ENSG00000020256.20	ZFP64	68	146.001	70	50.001	329	214.001
ENSG00000020426.11	MNAT1	155	62.999	59	123	271	147.001
ENSG00000020577.14	SAMD4A	148	103	242.001	23	354.999	62
ENSG00000020633.19	RUNX3	68	347.999	195	210	536.999	56
ENSG00000020922.13	MRE11	97	260	127.999	183.984	246.001	169
ENSG00000021300.14	PLEKHB1	1	17	15	16	6	1
ENSG00000021355.13	SERPINB1	1439	577.001	749.001	502	1145.999	1008
ENSG00000021461.18	CYP3A43	0	2	0	1	0	1
ENSG00000021488.13	SLC7A9	0	5	2	5	0	1
ENSG00000021574.15	SPAST	54	171	161	177	376	253
ENSG00000021645.20	NRXN3	0	4	15	32	7	2
ENSG00000021762.20	OSBPL5	82	82	92.001	42	157	74.001
ENSG00000021776.11	AQR	251	327	271	199	549	626
ENSG00000021826.18	CPS1	3	2	6	1	251	60
ENSG00000021852.14	C8B	0	0	0	0	1	0
ENSG00000022267.19	FHL1	298	144	298.992	41	492	75.904
ENSG00000022277.13	RTF2	372.977	378.995	408.988	303.999	819.977	493
ENSG00000022355.18	GABRA1	0	0	0	0	1	0
ENSG00000022556.16	NLRP2	5	167.996	38.849	60.743	3	526.843
ENSG00000022567.10	SLC45A4	68.999	123	119.999	155	246	228
ENSG00000022840.17	RNF10	433	580.001	658	501	750	970
ENSG00000022976.16	ZNF839	86.539	56.126	55.999	104.001	105	78.467
ENSG00000023041.12	ZDHHC6	200	287	241.998	307	480.999	348
ENSG00000023171.20	GRAMD1B	17	53	79	43	34	4
ENSG00000023191.17	RNH1	416.001	443.999	792	256.001	833	409
ENSG00000023228.15	NDUFS1	393.105	438.707	389.383	217.216	695.239	595.481
ENSG00000023287.13	RB1CC1	405	494	328	375	615	788.999
ENSG00000023318.9	ERP44	557	610	597.001	310	1164.999	244.999
