gene_id	gene_name	SRR2219873	SRR2219887	SRR2219889	SRR2219891	SRR2219895	SRR2219907
ENSG00000163565.20	IFI16	1294	5098.502	2124.154	1719	3688.889	2988.852
ENSG00000163568.17	AIM2	46	436.105	186.788	188.999	414	52
ENSG00000163576.18	EFHB	0	0	4	4	4	6
ENSG00000163577.8	EIF5A2	69	77.001	40	43	172	45
ENSG00000163581.14	SLC2A2	0	0	0	0	0	0
ENSG00000163584.18	RPL22L1	131	156	230	299	404	94
ENSG00000163586.10	FABP1	0	0	0	0	0	0
ENSG00000163590.14	PPM1L	25	75	67	119	61	140
ENSG00000163596.17	ICA1L	4	38	13	43.018	10.017	29.944
ENSG00000163597.18	SNHG16	406	260	374.001	243.981	930.993	781.879
ENSG00000163599.18	CTLA4	17	120.001	238	135	40	14
ENSG00000163600.13	ICOS	18	109	132	80	21	18
ENSG00000163602.12	RYBP	156	331	299	149	430	243.999
ENSG00000163605.16	PPP4R2	213	337.785	297.79	223	646.906	361.927
ENSG00000163606.11	CD200R1	5	60	45	39	10	373
ENSG00000163607.18	GTPBP8	26	96	51.001	93	125	124
ENSG00000163608.15	NEPRO	81.999	357	199.999	356.999	481.999	313.001
ENSG00000163611.11	SPICE1	45.213	89.921	91.529	141.575	122.963	150.169
ENSG00000163612.10	FAM86KP	0	1	1	0	0	0
ENSG00000163617.11	CCDC191	15	75	27	344	34	63
ENSG00000163618.18	CADPS	3	8	7	2	0	0
ENSG00000163623.10	NKX6-1	2	0	0	8	29	6
ENSG00000163624.6	CDS1	202	115	28	129	371	292
ENSG00000163625.17	WDFY3	184	186.001	238	160	376.001	396.001
ENSG00000163626.17	COX18	49	101	75	71	118	129
ENSG00000163629.13	PTPN13	841	594	198	251	1479.999	1632
ENSG00000163630.11	SYNPR	0	0	0	0	1	0
ENSG00000163631.19	ALB	0	0	0	5	0	3
ENSG00000163632.15	C3orf49	0	0	0	0	0	0
ENSG00000163633.12	C4orf36	11	13.488	14	6	46	28.075
ENSG00000163634.12	THOC7	104	212	177	213	371.001	201.999
ENSG00000163635.20	ATXN7	57	278	306	173	306.001	156
ENSG00000163636.11	PSMD6	276	334.999	304	207.999	783.001	341
ENSG00000163637.13	PRICKLE2	37.999	78	109.321	30	393	33
ENSG00000163638.13	ADAMTS9	42.999	64	86	3	85.999	24
ENSG00000163644.15	PPM1K	31	376	160.81	151	147	62.284
ENSG00000163645.15	ERICH6	0	0	1	1	3	0
ENSG00000163646.12	CLRN1	0	0	0	0	0	0
